"Hwins","Awins","IsDraw","goals2H","Hgoals","Agoals","Hgoals1H","Agoals1H","HG_LY","HGA_LY","HM_LY","AG_LY","AGA_LY","AM_LY","HG_TY","HGA_TY","HM_TY","AG_TY","AGA_TY","AM_TY","Hrelegated","Hpromoted","Arelegated","Apromoted"
1,0,0,1,3,0,2,0,59,17,30,36,41,30,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,29,55,30,39,37,30,0,0,0,0,0,0,0,0,0,0
1,0,0,0,2,0,2,0,36,53,30,28,46,30,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,2,0,0,28,35,30,54,28,30,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,NA,NA,NA,48,31,30,0,0,0,0,0,0,0,1,0,0
1,0,0,3,3,1,1,0,61,31,30,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
1,0,0,0,3,1,3,1,34,51,30,42,39,30,0,0,0,0,0,0,0,0,0,0
1,0,0,2,2,0,0,0,51,38,30,42,44,30,0,0,0,0,0,0,0,0,0,0
0,0,1,3,2,2,1,0,45,44,34,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
1,0,0,1,2,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,0,0,36,38,38,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
1,0,0,1,2,0,1,0,35,45,38,43,43,38,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,43,59,38,56,44,38,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,44,52,38,51,47,38,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,47,37,38,53,42,38,0,0,0,0,0,0,0,0,0,0
1,0,0,1,3,2,3,1,49,54,38,46,45,38,0,0,0,0,0,0,0,0,0,0
1,0,0,3,4,2,2,1,63,56,38,57,58,38,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,2,0,0,28,46,30,61,31,30,0,2,1,3,1,1,0,0,0,0
0,0,1,0,1,1,1,1,30,43,34,64,38,34,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,36,39,34,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,1,0,1,44,49,34,34,33,34,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1
0,1,0,2,2,3,2,1,36,41,30,NA,NA,NA,0,3,1,1,0,1,0,0,0,1
0,0,1,0,1,1,1,1,42,39,30,29,55,30,1,3,1,0,0,1,0,0,0,0
0,1,0,3,2,3,1,1,42,44,30,59,17,30,0,2,1,3,0,1,0,0,0,0
1,0,0,0,1,0,1,0,NA,NA,NA,28,35,30,1,3,1,0,2,1,0,1,0,0
1,0,0,0,1,0,1,0,NA,NA,NA,29,35,34,0,0,0,0,0,0,0,1,0,0
1,0,0,1,2,1,1,1,NA,NA,NA,46,51,34,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,47,34,34,48,47,34,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,42,54,34,0,0,0,0,0,0,1,0,0,0
1,0,0,0,1,0,1,0,54,28,30,36,53,30,2,0,1,2,0,1,0,0,0,0
1,0,0,3,3,1,0,1,39,37,30,34,51,30,0,0,1,3,1,1,0,0,0,0
1,0,0,1,2,1,1,1,48,31,30,51,38,30,0,1,1,2,0,1,0,0,0,0
1,0,0,3,3,2,0,2,55,39,34,38,41,34,0,0,0,0,0,0,0,0,0,0
1,0,0,2,2,1,0,1,38,32,38,31,38,38,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,70,62,46,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
1,0,0,1,2,0,1,0,36,39,34,44,49,34,0,0,1,1,1,1,0,0,0,0
0,1,0,0,2,3,2,3,46,51,34,47,34,34,1,2,1,0,0,1,0,0,0,0
0,0,1,1,1,1,0,1,48,47,34,45,44,34,0,0,1,2,2,1,0,0,0,0
0,0,1,1,2,2,2,1,44,52,38,84,23,38,0,0,0,0,0,0,0,0,0,0
1,0,0,1,2,0,1,0,46,45,38,36,38,38,2,3,1,0,0,1,0,0,0,0
0,0,1,0,1,1,1,1,31,38,38,35,45,38,1,2,1,2,0,1,0,0,0,0
